"parcel_id","state","district","land_area","land_type","land_use","number_of_owners","ownership_complexity","previous_dispute","previous_objections","land_value","estimated_compensation","environmental_risk","road_accessibility","distance_to_road","project_type","stakeholder_count","land_use_conflict","documentation_completeness","historical_acquisition_duration","acquisition_risk","acquisition_duration"
"SYN-LA-00057","Uttar Pradesh","Begusarai","24.29","Industrial","Fallow","6","8","0","0","14.5","19.87","5","10","3.92","Public utility","20","5","5","11.1","1","12.85"
"SYN-LA-00058","Jharkhand","Gaya","18.13","Commercial","Multi-crop","7","7","0","0","8.06","8.93","4","4","10.97","Public utility","9","","4","11.01","2","14.79"
"SYN-LA-00059","Bihar","Nalanda","12.12","Commercial","Fallow","7","7","0","0","6.27","8.03","2","3","10.94","Road","","3","6","8.11","1","10.03"
"SYN-LA-00060","Uttar Pradesh","Gaya","25","Forest buffer","Mixed use","8","9","1","4","18.72","21.53","4","7","8.45","Public utility","5","2","5","15.16","3","21.04"
"SYN-LA-00061","Bihar","Gaya","18.27","Agricultural","Single-crop","2","2","0","0","14.22","16.71","5","9","4.27","Public utility","","4","6","7.15","1","10.61"
"SYN-LA-00062","Uttar Pradesh","Saran","4.72","Industrial","Fallow","7","9","1","0","","2.62","0","6","1.98","","9","0","4","6.95","1","9.98"
"SYN-LA-00063","Bihar","Dhanbad","15.11","Commercial","Fallow","2","2","0","1","6.95","9.41","4","5","0.21","Road","8","3","8","8.14","1","9.67"
"SYN-LA-00064","Jharkhand","Nalanda","8.77","Commercial","Commercial","8","8","0","0","6.65","8.04","6","7","5.36","Water management","4","0","5","7.49","1","8.03"
"SYN-LA-00065","Bihar","Ranchi","11.42","Industrial","Fallow","7","9","0","0","3.35","4.57","4","","11.41","Road","17","4","3","7.03","2","10.33"
"SYN-LA-00066","Bihar","Bhojpur","19.18","Commercial","Single-crop","5","5","0","0","","4.35","2","7","","Industrial corridor","7","3","7","8.5","1","11.41"
"SYN-LA-00067","","Nalanda","3.94","Residential","Residential","2","3","0","0","2.87","3.79","6","10","7.27","Industrial corridor","14","5","8","8.85","1","10.75"
"SYN-LA-00068","Uttar Pradesh","Dhanbad","24.06","Industrial","","5","7","1","","8.8","9.23","1","9","0.42","Rail","15","4","10","11.88","1","15.05"
"SYN-LA-00069","Jharkhand","Saran","6.2","Commercial","","7","10","1","1","3.31","4.56","5","7","8.7","Water management","","4","4","14.32","3","18.51"
"SYN-LA-00070","Jharkhand","Purnia","3.28","Agricultural","Residential","4","6","0","0","1.38","1.79","5","4","9.57","Industrial corridor","16","","7","11.12","1","12.35"
"SYN-LA-00071","Uttar Pradesh","Patna","10.24","","Mixed use","1","1","1","1","4.98","6.2","6","6","5.96","Road","15","4","7","8.67","1","13.27"
"SYN-LA-00072","Bihar","Ranchi","14.95","Commercial","Mixed use","2","3","0","0","5.71","7.37","7","4","1.25","Industrial corridor","4","5","7","9.15","1","12.43"
"","Jharkhand","Nalanda","23.61","Industrial","Single-crop","8","8","1","0","7.65","8.38","","9","2.43","Water management","9","3","7","13.85","1","16.93"
"SYN-LA-00074","Bihar","Begusarai","21.61","Commercial","Residential","2","1","0","0","6.25","8.5","7","7","7.38","Water management","","5","6","5.14","1","9.35"
"SYN-LA-00075","Uttar Pradesh","Purnia","14.99","Agricultural","Single-crop","2","3","","0","","12.24","4","3","5.45","Road","20","1","7","4.14","1","6.59"
"SYN-LA-00076","Jharkhand","Patna","15.84","Industrial","Multi-crop","2","2","0","0","7","9.34","0","7","6.19","Road","6","4","9","11.98","0","14.38"
"SYN-LA-00077","Jharkhand","Bhojpur","15.89","Commercial","Commercial","5","5","","0","3.22","4.1","5","5","7.94","Public utility","16","0","7","6.77","1","6.64"
"SYN-LA-00078","Bihar","Gaya","16.74","Forest buffer","","5","7","0","1","4.38","5.81","10","6","7.6","Water management","20","2","8","8.31","2","10.22"
"SYN-LA-00079","","Vaishali","23.45","Commercial","Commercial","4","5","1","","9.05","12.19","7","4","3.18","Industrial corridor","12","3","9","15.96","2","21.29"
"SYN-LA-00080","Jharkhand","Bhagalpur","19.69","Residential","Commercial","2","2","0","0","8.35","10.14","7","5","7.61","Public utility","15","3","5","6.11","1","7.73"
"SYN-LA-00081","Uttar Pradesh","Ranchi","18.48","Agricultural","Multi-crop","","5","0","0","8.34","8.77","7","9","5.37","Rail","2","1","7","9.01","1","9.74"
"SYN-LA-00082","Uttar Pradesh","Gaya","","Industrial","Multi-crop","7","8","0","0","6.56","7.86","6","5","6.56","Water management","16","2","5","14.16","2","16.28"
"SYN-LA-00083","Jharkhand","Gaya","6.92","Commercial","Single-crop","3","5","0","0","1.88","1.99","2","4","2.29","Road","2","3","5","6.15","1","7.73"
"SYN-LA-00084","Bihar","Gaya","","Industrial","Mixed use","7","9","0","","2.77","3.19","3","4","0.23","Public utility","9","2","6","10.22","1","13.44"
"SYN-LA-00085","Jharkhand","Patna","3.37","Agricultural","Fallow","7","9","0","0","0.77","","","4","7.58","Road","12","4","4","13.27","3","16.11"
"SYN-LA-00086","Jharkhand","Vaishali","19.32","Industrial","Fallow","6","7","","1","12.33","14.99","1","10","10.31","Rail","8","0","4","13.8","1","15.6"
"SYN-LA-00087","","Begusarai","11.05","Residential","Residential","4","6","0","1","","9.74","3","9","3.72","Road","16","6","","10.17","1","12.25"
"SYN-LA-00088","Bihar","Muzaffarpur","13.05","Agricultural","","8","8","1","3","3.79","4.42","7","4","","Rail","19","","6","11.33","3","16.34"
"SYN-LA-00089","Bihar","Vaishali","14.88","Industrial","Single-crop","7","","0","0","6.58","8.11","4","9","1.99","Public utility","5","3","3","13.37","2","18.13"
"","Jharkhand","Ranchi","18.12","Commercial","Multi-crop","5","5","0","0","8.94","9.86","8","6","5.32","Road","8","","9","6.67","1","7.85"
"SYN-LA-00091","Jharkhand","Bhagalpur","","Commercial","Multi-crop","6","7","0","0","3.25","4.38","5","3","6.22","Industrial corridor","15","","6","12.02","2","13.42"
"SYN-LA-00092","Uttar Pradesh","Bhagalpur","9.39","Agricultural","Mixed use","3","4","1","0","2.55","3.47","9","6","9.26","Water management","5","0","9","6.96","1","7.57"
"SYN-LA-00093","Bihar","Purnia","13.56","Industrial","Residential","7","7","0","1","7.87","9.58","8","3","11.09","Public utility","9","","5","8.44","2","11.25"
"SYN-LA-00094","Jharkhand","Muzaffarpur","11.38","Residential","Commercial","4","3","1","2","8.5","9.61","5","4","4.48","Road","16","2","8","7.57","2","12.51"
"SYN-LA-00095","Jharkhand","Vaishali","16.65","Industrial","Multi-crop","","8","0","0","","12.89","6","6","2.49","","2","4","7","10.05","1","12.68"
"SYN-LA-00096","Jharkhand","Nalanda","8.15","Agricultural","Single-crop","3","3","0","0","","","3","10","1.81","Water management","5","3","7","","0","13.04"
"SYN-LA-00097","Uttar Pradesh","Saran","21.5","Residential","Commercial","6","7","0","","18.75","20.57","3","8","3.15","Water management","18","5","5","12.11","2","15.29"
"SYN-LA-00098","Bihar","Begusarai","11.29","Forest buffer","Multi-crop","1","2","0","0","9.19","12.39","7","5","10.25","Public utility","17","1","6","6.41","1","8.22"
"","Bihar","Begusarai","2.58","Residential","Single-crop","3","4","","0","2.14","2.57","1","7","10.47","Industrial corridor","20","5","8","12.14","1","14.19"
"SYN-LA-00100","Uttar Pradesh","Vaishali","14.67","Forest buffer","Residential","8","9","0","","3.54","4.82","10","6","10.69","Road","18","4","4","14.22","3","18.86"
"SYN-LA-00101","Uttar Pradesh","Bhagalpur","6.72","","Single-crop","4","","1","4","2.37","3.15","5","10","12","Public utility","9","2","5","16.08","3","24.03"
"SYN-LA-00102","Jharkhand","Bhagalpur","3.78","Industrial","Single-crop","3","5","0","0","1.74","2","","6","4.02","Road","4","3","6","8.43","1","9.8"
"SYN-LA-00103","Bihar","Patna","23.78","Residential","Mixed use","2","4","0","0","12.39","13.18","6","","2.15","Industrial corridor","10","4","7","11.98","1","14.59"
"SYN-LA-00104","Jharkhand","Bhagalpur","13.8","","Residential","3","5","1","3","6.4","6.97","9","6","9.67","Water management","20","0","6","11.75","3","16.92"
"SYN-LA-00105","Jharkhand","Muzaffarpur","15.31","Agricultural","Mixed use","2","3","0","0","7.13","9.51","2","8","11.4","Water management","16","","10","10.37","0","12.12"
"SYN-LA-00106","Uttar Pradesh","Vaishali","9","Agricultural","Single-crop","5","7","0","0","2.78","3.82","6","4","1.37","Rail","5","0","10","6.64","1","6.82"
"SYN-LA-00107","Uttar Pradesh","Purnia","11.73","Forest buffer","Fallow","7","8","0","0","3.72","4.04","10","1","3.04","Water management","17","0","7","11.19","2","11.14"
"SYN-LA-00108","Uttar Pradesh","Begusarai","","Agricultural","Fallow","8","8","0","0","0.66","0.82","0","6","8.89","Public utility","15","1","5","14.1","1","14.88"
"SYN-LA-00109","Jharkhand","Dhanbad","1.06","Forest buffer","Commercial","6","7","0","0","0.22","0.26","9","6","4.8","Rail","5","2","5","","1","15.9"
"SYN-LA-00110","Uttar Pradesh","Nalanda","21.93","Agricultural","Multi-crop","","1","0","1","5.5","5.85","5","7","0.48","Public utility","11","2","8","","0","10.68"
"SYN-LA-00111","Bihar","Muzaffarpur","","Agricultural","Single-crop","4","5","","0","3.13","3.28","4","9","2.37","Industrial corridor","3","","9","","1","15.05"
"SYN-LA-00112","Uttar Pradesh","Nalanda","14.67","Forest buffer","Single-crop","2","2","0","1","5.22","5.8","10","3","","Water management","20","2","6","5.1","2","9.17"
"SYN-LA-00113","Jharkhand","","18.44","Commercial","Single-crop","5","5","0","0","8.96","12.43","1","5","2.17","Public utility","5","5","9","12.72","1","15.52"
"SYN-LA-00114","Jharkhand","Saran","7.33","Forest buffer","Single-crop","6","8","0","0","","5.54","10","7","1.41","Industrial corridor","15","","5","7.35","1","10.36"
"SYN-LA-00115","Uttar Pradesh","Purnia","","Industrial","Commercial","7","8","1","1","12.13","14.58","3","6","1.42","Road","13","5","3","13.29","3","20.19"
"SYN-LA-00116","Jharkhand","Vaishali","2.9","Residential","Single-crop","2","4","1","","0.93","1.22","6","6","1.22","Road","19","4","5","6.99","2","13.76"
"SYN-LA-00117","Uttar Pradesh","Dhanbad","23.24","Commercial","Residential","2","1","0","0","14.74","19.56","2","7","2.53","Public utility","17","5","9","8.5","0","9.57"
"SYN-LA-00118","Jharkhand","Dhanbad","8.44","","Fallow","7","9","0","0","2.24","2.64","7","4","1.2","Rail","12","0","4","11.96","2","14.07"
"SYN-LA-00119","Jharkhand","Bhagalpur","24.24","Commercial","Mixed use","2","2","1","1","15.34","17.06","8","5","1.94","Water management","2","4","7","6.92","1","10.56"
"SYN-LA-00120","Jharkhand","Dhanbad","7.47","Residential","Residential","5","4","0","1","2.75","3.42","1","6","7.12","","16","4","7","11.6","1","14.79"
"SYN-LA-00121","Uttar Pradesh","Gaya","7.01","Forest buffer","Fallow","6","7","0","","5.35","5.8","","8","7.88","Water management","18","4","4","10.14","2","13.45"
"SYN-LA-00122","Uttar Pradesh","Begusarai","23.48","Residential","Single-crop","4","6","1","2","15.45","17.48","2","3","4.9","Water management","2","3","8","12.79","1","16.67"
"SYN-LA-00123","Jharkhand","Begusarai","16.18","Agricultural","Single-crop","6","6","","0","7.46","8.93","4","3","4.04","Industrial corridor","19","5","6","11.92","2","13.86"
"SYN-LA-00124","Bihar","Bhojpur","22.72","","Commercial","7","8","0","0","18.94","23.53","9","5","1.71","Rail","15","6","7","13.49","2","15.93"
"SYN-LA-00125","Uttar Pradesh","","","Commercial","Single-crop","7","9","1","4","3.92","4.71","2","4","1.26","Rail","5","2","5","11.81","3","18.59"
"","Uttar Pradesh","Gaya","11.68","Residential","Mixed use","1","2","0","1","8.13","11.31","7","5","11.23","Road","19","2","10","11.46","1","13.33"
"SYN-LA-00127","","Bhojpur","24.03","Agricultural","Multi-crop","1","0","0","0","13.56","18.58","2","8","1.62","Water management","14","3","8","4.69","0","7.47"
"SYN-LA-00128","Jharkhand","Bhojpur","20.48","Residential","Mixed use","2","2","0","0","11.61","","3","9","10.27","Road","2","3","7","10.75","0","14.19"
"SYN-LA-00129","Bihar","Nalanda","15.22","Forest buffer","Mixed use","4","4","0","1","10.24","10.82","4","5","4.63","Industrial corridor","11","3","5","7.13","1","10.23"
"SYN-LA-00130","Uttar Pradesh","Saran","9.8","Agricultural","Residential","5","7","1","3","7.75","8.9","","9","6.97","Industrial corridor","8","4","10","14.96","2","20.64"
"SYN-LA-00131","Uttar Pradesh","Patna","14.89","Agricultural","Multi-crop","7","9","","2","","10.48","3","5","2.51","Rail","6","3","7","11.06","2","15.54"
"SYN-LA-00132","Uttar Pradesh","Vaishali","2.17","Industrial","Fallow","7","9","0","0","","","3","4","2.58","Public utility","5","3","7","11.16","1","14.59"
"SYN-LA-00133","Uttar Pradesh","Ranchi","13.82","","Commercial","5","5","0","1","11.14","11.41","2","6","11.18","Industrial corridor","2","4","8","8.95","1","11.4"
"SYN-LA-00134","Bihar","Dhanbad","6.77","Forest buffer","Residential","8","10","0","0","4.05","","5","4","7.01","Rail","16","4","7","14.26","2","15.66"
"SYN-LA-00135","Bihar","","8.1","Commercial","Residential","4","4","0","1","","5.53","8","4","7.7","Rail","9","1","9","13.6","1","16.31"
"SYN-LA-00136","Uttar Pradesh","Bhojpur","19.61","Industrial","Multi-crop","8","8","0","0","7.62","9.77","7","","8.49","Public utility","10","1","7","14.82","2","15.31"
"SYN-LA-00137","Jharkhand","Gaya","23.11","Commercial","Single-crop","7","9","0","0","19.66","23.29","1","8","9.81","Rail","7","2","4","13.63","1","16"
"SYN-LA-00138","Bihar","Saran","5.26","Residential","Residential","1","3","1","0","4.5","4.9","2","4","11.87","Industrial corridor","17","3","5","10.22","2","14.02"
"SYN-LA-00139","Uttar Pradesh","Begusarai","","Agricultural","Single-crop","8","10","1","3","3.8","4.86","0","7","6.53","Public utility","10","0","4","13.6","2","18.41"
"SYN-LA-00140","Uttar Pradesh","","15.17","","Residential","4","4","0","1","11.74","14.79","5","7","5.49","Public utility","12","1","9","6.58","1","9.09"
"SYN-LA-00141","Uttar Pradesh","Muzaffarpur","16.65","Agricultural","Commercial","1","3","0","0","","13.41","3","","10.52","Water management","","3","8","10.07","1","10.99"
"SYN-LA-00142","Uttar Pradesh","Saran","2.46","Agricultural","Residential","2","2","0","0","1.94","2.21","1","9","9.82","Public utility","6","2","8","7.79","0","8.4"
"SYN-LA-00143","","Vaishali","5.74","Commercial","Residential","2","3","1","1","3.69","4.26","3","6","0.36","Rail","12","3","9","9.72","1","14.58"
"","Bihar","Patna","15.65","Agricultural","Single-crop","2","1","0","0","10.5","11.31","8","8","6.98","Road","19","4","7","4.59","1","5.73"
"SYN-LA-00145","Uttar Pradesh","Bhojpur","15.14","","Fallow","3","3","0","0","11.47","14.46","3","3","6.29","","19","2","10","10.53","1","11.24"
"SYN-LA-00146","Jharkhand","Patna","16.24","Industrial","Multi-crop","8","8","0","0","13.39","17.07","2","9","9.32","Rail","16","4","8","10.74","1","12.76"
"SYN-LA-00147","Jharkhand","Muzaffarpur","7.97","Residential","Mixed use","","3","0","0","4.74","4.91","5","9","9.64","Water management","","0","7","","1","11.34"
"SYN-LA-00148","Uttar Pradesh","Bhojpur","10.1","Agricultural","Fallow","4","","0","1","4.11","5.73","7","8","2.51","","6","2","7","8.79","1","12.21"
"SYN-LA-00149","Jharkhand","Ranchi","3.63","Industrial","Mixed use","6","8","","0","1.12","1.14","","7","2.21","Public utility","8","4","7","9.54","1","10.83"
"SYN-LA-00150","Uttar Pradesh","Begusarai","22.44","","Commercial","3","4","0","0","6.74","9.03","6","6","6.94","Public utility","4","2","8","9.04","1","10.3"
"SYN-LA-00151","Uttar Pradesh","Vaishali","16.65","Forest buffer","","7","9","0","0","10.78","14.48","3","8","10.75","Road","13","2","6","8.39","1","11.34"
"SYN-LA-00152","Bihar","Muzaffarpur","","Forest buffer","Commercial","","3","0","0","2.93","3.86","8","1","4.51","Public utility","15","4","8","10.22","1","13.6"
"SYN-LA-00153","Jharkhand","Ranchi","16.25","Commercial","Commercial","3","3","0","","7.87","9.35","2","5","5.5","Public utility","16","2","8","9.15","1","10.11"
"SYN-LA-00154","Uttar Pradesh","Gaya","13.7","Agricultural","Mixed use","5","5","1","3","3.07","","8","7","2.52","Road","3","3","6","15.76","2","22.05"
"SYN-LA-00155","Bihar","Muzaffarpur","12.17","Commercial","Multi-crop","3","5","0","0","7.72","8.38","3","8","3.67","Rail","17","3","6","5.25","1","7.21"
"SYN-LA-00156","Bihar","Dhanbad","19.18","Forest buffer","Residential","4","6","0","0","7.8","8.61","7","4","2.9","Road","4","8","7","","1","15.86"
"SYN-LA-00157","Jharkhand","Dhanbad","7.77","Commercial","Multi-crop","3","5","0","1","3.74","4.72","2","7","5.23","Industrial corridor","11","1","6","12.23","1","14.81"
"SYN-LA-00158","Uttar Pradesh","Muzaffarpur","9.57","Agricultural","Mixed use","","9","0","1","4.12","4.75","2","9","8.6","Water management","13","2","6","13.33","2","16.38"
"SYN-LA-00159","Jharkhand","Purnia","7.22","Commercial","Residential","3","3","0","0","3.13","4.32","5","6","6.8","Rail","18","1","5","12.1","1","13.83"
"SYN-LA-00160","Uttar Pradesh","Dhanbad","","Agricultural","Mixed use","5","5","1","0","14.77","","1","6","4.05","Public utility","16","3","9","13.34","1","16.25"
"SYN-LA-00161","Bihar","Patna","8.28","Forest buffer","Multi-crop","8","10","0","0","4.16","4.66","10","4","9.19","Public utility","15","4","7","10.98","3","14.29"
"SYN-LA-00162","Bihar","Dhanbad","22.65","Forest buffer","Commercial","","4","0","0","19.86","21.69","4","4","4.01","Road","17","","10","9.74","1","10.95"
"SYN-LA-00163","Jharkhand","Muzaffarpur","22.24","Forest buffer","Mixed use","8","9","0","0","10.17","12.42","8","5","5.95","Rail","","2","5","13.82","2","15.32"
"SYN-LA-00164","Jharkhand","Gaya","12.31","Forest buffer","Residential","6","8","0","0","4.06","4.78","6","7","9.55","Public utility","16","","4","11.23","2","15.78"
"SYN-LA-00165","Jharkhand","Gaya","23.18","Residential","Mixed use","5","7","0","0","18.23","23.47","4","9","4.85","Rail","20","1","8","9.5","1","11.64"
"SYN-LA-00166","Bihar","Nalanda","15.91","Agricultural","Fallow","4","5","1","0","3.55","4.21","7","3","0.63","Industrial corridor","16","2","8","7.88","1","9.95"
