"record_id","state","district","project_type","land_area_ha","number_of_owners","ownership_complexity","previous_dispute","previous_objections","land_type","land_value_cr","environmental_risk","road_accessibility","distance_to_road_km","stakeholder_count","compensation_exposure_cr","land_use_conflict","documentation_completeness","acquisition_risk","risk_score","source_label"
"SYN-0145","Bihar","Nalanda","Road","8.90","4","4","0","0","Agricultural","4.02","0","4","2.83","7","4.88","4","6","0","30","synthetic_demo"
"SYN-0146","Bihar","Saran","Rail","5.93","1","1","0","1","Commercial","3.54","1","5","7.77","6","4.41","2","6","1","54","synthetic_demo"
"SYN-0147","Bihar","Bhagalpur","Industrial corridor","8.06","5","6","1","2","Agricultural","3.06","1","9","5.98","2","3.14","2","4","2","79","synthetic_demo"
"SYN-0148","Bihar","Nalanda","Industrial corridor","3.82","7","9","0","0","Commercial","1.21","3","8","3.17","9","1.27","5","4","3","91","synthetic_demo"
"SYN-0149","Bihar","Gaya","Road","2.21","6","7","1","2","Forest buffer","0.55","8","2","5.17","7","0.64","3","5","0","30","synthetic_demo"
"SYN-0150","Bihar","Patna","Rail","8.43","6","6","0","1","Forest buffer","4.98","5","5","6.71","12","5.68","0","4","1","60","synthetic_demo"
"SYN-0151","Bihar","Bhagalpur","Rail","1.73","1","3","0","0","Residential","0.90","4","6","5.69","5","1.21","4","8","2","65","synthetic_demo"
"SYN-0152","Bihar","Bhagalpur","Industrial corridor","11.23","6","9","0","0","Forest buffer","4.35","5","2","0.48","6","4.70","5","6","3","92","synthetic_demo"
"SYN-0153","Bihar","Muzaffarpur","Rail","4.58","7","7","0","1","Commercial","2.42","2","6","4.72","14","2.38","0","6","0","30","synthetic_demo"
"SYN-0154","Bihar","Bhagalpur","Industrial corridor","3.94","1","2","1","3","Residential","2.18","8","8","0.71","10","2.14","2","9","1","60","synthetic_demo"
"SYN-0155","Bihar","Bhojpur","Water management","5.34","1","1","0","1","Agricultural","2.28","2","5","4.28","4","2.65","4","9","2","61","synthetic_demo"
"SYN-0156","Bihar","Muzaffarpur","Water management","13.92","1","1","0","0","Commercial","4.10","6","6","4.14","14","5.53","4","9","3","81","synthetic_demo"
"SYN-0157","Bihar","Patna","Public utility","8.75","2","1","0","0","Residential","4.28","5","9","6.14","5","4.53","4","9","0","29","synthetic_demo"
"SYN-0158","Bihar","Vaishali","Rail","4.83","1","0","1","1","Industrial","2.62","1","7","5.34","10","2.80","4","6","1","59","synthetic_demo"
"SYN-0159","Bihar","Gaya","Water management","6.58","6","8","0","0","Forest buffer","1.76","10","6","3.26","5","1.66","3","7","2","78","synthetic_demo"
"SYN-0160","Bihar","Muzaffarpur","Rail","5.65","7","8","0","0","Agricultural","2.64","3","4","3.11","4","2.48","5","5","3","90","synthetic_demo"
"SYN-0161","Bihar","Bhojpur","Water management","7.45","5","6","0","1","Residential","4.22","5","9","0.30","5","3.88","1","7","0","30","synthetic_demo"
"SYN-0162","Bihar","Saran","Public utility","2.94","5","5","0","0","Residential","1.37","6","9","2.17","7","1.54","1","7","1","50","synthetic_demo"
"SYN-0163","Bihar","Bhagalpur","Rail","7.81","7","9","0","0","Agricultural","4.10","6","10","3.64","10","5.02","0","6","2","68","synthetic_demo"
"SYN-0164","Bihar","Muzaffarpur","Public utility","4.36","5","6","0","0","Commercial","1.22","7","5","2.09","5","1.16","2","8","3","81","synthetic_demo"
"SYN-0165","Bihar","Muzaffarpur","Water management","13.27","7","7","1","0","Industrial","4.29","4","9","1.71","7","5.39","3","5","0","30","synthetic_demo"
"SYN-0166","Bihar","Gaya","Road","6.46","4","4","1","4","Industrial","3.91","1","7","7.17","11","3.61","4","7","1","60","synthetic_demo"
"SYN-0167","Bihar","Vaishali","Road","4.60","7","7","0","0","Forest buffer","2.50","4","4","4.73","10","2.95","3","6","2","75","synthetic_demo"
"SYN-0168","Bihar","Vaishali","Public utility","12.66","7","7","1","1","Forest buffer","4.60","9","2","6.28","6","5.96","0","4","3","100","synthetic_demo"
"SYN-0169","Bihar","Vaishali","Water management","2.45","5","7","1","3","Industrial","0.91","2","7","4.77","3","0.86","3","6","0","30","synthetic_demo"
"SYN-0170","Bihar","Gaya","Rail","7.09","1","1","0","1","Residential","2.64","0","8","6.95","12","3.24","5","9","1","48","synthetic_demo"
"SYN-0171","Bihar","Gaya","Public utility","3.62","7","9","1","3","Agricultural","1.07","7","5","7.32","10","1.27","4","4","2","80","synthetic_demo"
"SYN-0172","Bihar","Patna","Water management","10.98","5","7","1","0","Agricultural","6.75","2","6","6.66","13","8.48","1","7","3","88","synthetic_demo"
"SYN-0173","Bihar","Patna","Water management","13.15","2","2","0","1","Commercial","6.79","4","9","6.63","9","7.29","0","9","0","27","synthetic_demo"
"SYN-0174","Bihar","Muzaffarpur","Water management","5.73","2","3","0","0","Forest buffer","3.10","9","7","4.77","5","3.74","0","8","1","48","synthetic_demo"
"SYN-0175","Bihar","Vaishali","Public utility","2.84","1","0","0","0","Residential","0.72","4","10","5.65","7","0.88","1","7","2","61","synthetic_demo"
"SYN-0176","Bihar","Nalanda","Industrial corridor","9.28","6","7","0","0","Industrial","4.85","5","9","4.75","2","6.31","2","8","3","81","synthetic_demo"
"SYN-0177","Bihar","Saran","Water management","13.99","1","2","0","0","Residential","5.68","3","5","3.32","10","5.30","1","9","0","30","synthetic_demo"
"SYN-0178","Bihar","Nalanda","Industrial corridor","6.85","2","2","0","0","Residential","2.66","2","6","4.53","8","2.49","3","10","1","47","synthetic_demo"
"SYN-0179","Bihar","Vaishali","Public utility","10.94","5","7","1","1","Commercial","4.98","4","9","7.18","2","5.54","1","5","2","75","synthetic_demo"
"SYN-0180","Bihar","Bhojpur","Road","3.37","2","2","0","0","Residential","1.21","3","9","6.65","11","1.62","1","6","3","81","synthetic_demo"
